Table 2 -- Foreign coarse grains: Supply and disappearance (million metric tons),,,,,,,,,,,,
Commodity,Market Year,Market Year (Start),Beginning Stocks,Production,Imports,Total supply,"Food, alcohol, and industrial use",Feed use,Domestic disappearance,Exports,Total disappearance,Ending Stocks
Corn,1960/61,1960,11,100,13,124,55,52,109,7,116,9
,1961/62,1961,9,116,17,143,64,55,122,10,131,14
,1962/63,1962,14,116,20,150,68,58,126,10,136,14
,1963/64,1963,14,115,22,151,64,63,127,10,137,14
,1964/65,1964,14,127,21,162,67,71,141,10,151,14
,1965/66,1965,14,121,25,161,68,69,140,11,151,12
,1966/67,1966,12,144,25,182,73,76,151,15,165,18
,1967/68,1967,18,139,28,185,73,81,155,14,169,17
,1968/69,1968,17,139,28,185,74,82,155,14,168,15
,1969/70,1969,15,151,28,194,79,84,166,16,182,16
,1970/71,1970,16,163,28,206,86,82,172,19,191,19
,1971/72,1971,19,165,33,217,86,95,184,16,200,20
,1972/73,1972,20,160,38,218,87,102,192,9,201,20
,1973/74,1973,20,186,45,251,95,113,211,16,228,26
,1974/75,1974,26,180,40,247,96,106,204,13,217,32
,1975/76,1975,32,191,52,275,103,122,228,13,241,36
,1976/77,1976,36,196,53,286,111,121,235,14,249,39
,1977/78,1977,39,200,58,298,112,132,247,13,260,41
,1978/79,1978,41,208,65,313,115,138,254,12,266,48
,1979/80,1979,48,224,75,348,115,161,274,11,285,59
,1980/81,1980,59,240,74,374,116,171,294,20,313,67
,1981/82,1981,67,236,72,375,117,178,291,17,308,63
,1982/83,1982,63,231,67,360,109,177,279,13,293,60
,1983/84,1983,60,242,58,361,112,173,287,13,300,63
,1984/85,1984,63,264,66,393,112,185,298,20,318,76
,1985/86,1985,76,254,53,383,104,180,286,24,310,75
,1986/87,1986,75,267,52,394,110,186,299,17,316,81
,1987/88,1987,81,270,57,408,108,195,305,16,320,89
,1988/89,1988,89,275,66,431,111,207,320,17,337,96
,1989/90,1989,96,270,74,440,116,214,328,12,340,99
,1990/91,1990,99,280,58,437,119,201,320,15,335,103
,1991/92,1991,103,303,63,468,121,212,332,22,354,113
,1992/93,1992,111,295,60,466,121,215,339,21,360,109
,1993/94,1993,109,315,56,480,124,223,349,25,374,108
,1994/95,1994,108,304,69,481,123,233,353,11,364,114
,1995/96,1995,114,329,65,508,125,246,376,14,390,122
,1996/97,1996,122,358,65,545,128,254,382,20,402,144
,1997/98,1997,144,340,63,547,126,262,388,25,413,134
,1998/99,1998,134,358,66,558,130,266,396,17,412,146
,1999/00,1999,146,369,70,585,129,279,413,26,439,151
,2000/01,2000,151,340,75,565,131,279,413,27,440,127
,2001/02,2001,127,360,71,559,134,288,425,26,451,111
,2002/03,2002,111,376,75,562,134,293,428,36,464,99
,2003/04,2003,99,371,77,547,139,299,438,29,467,80
,2004/05,2004,80,417,76,573,144,320,466,31,497,77
,2005/06,2005,77,419,80,576,151,324,476,27,503,74
,2006/07,2006,74,449,90,613,157,340,501,40,541,76
,2007/08,2007,76,464,98,638,162,353,515,37,552,87
,2008/09,2008,87,494,82,663,173,352,526,37,564,101
,2009/10,2009,101,493,90,684,177,363,547,46,593,98
,2010/11,2010,98,520,92,710,188,382,569,45,613,95
,2011/12,2011,95,577,100,771,197,394,607,78,685,103
